Playlists,Precision,Recall
Global Top 50,0.245778894,1
Hip Hop Made Me,0.3427578,1
Lounge - Soft House,0.157928731,1
ThrowbackThursday,0.151122244,1
Radio 1 Playlist (BBC),0.172767978,1
Powerwalk!,0.15517094,1
Sad Beats,0.158156425,1
Fresh Finds,0.2071875,1
Chicano Fly Zone,0.4692057,1
Beast Mode,0.32859343,1
State of Mind,0.15561086,1
Happy Beats,0.148823529,1
A1 Hip-Hop,0.148763931,1
Para Entrenar,0.174565901,1
Hella Good New Millenia Hits,0.2435856,1
Pop Warmup 130 BPM,0.235408163,1
80s Love Songs,0.197642971,1
Workout Twerkout,0.158156425,1
Fantastic K-Workout,0.2071875,1
Lowkey Flex,0.156964286,1
Pumped Pop,0.204068441,1
Doo-Wop Dee Doo,0.1264677,1
